sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
212591,https://sofifa.com/player/212591/walker-zimmerman/210002,W. Zimmerman,Walker Zimmerman,27,5/19/1993,191,89,United States,Nashville SC,USA Major League Soccer,1,73,75,4200000,7000,CB,Right,1,3,2,Medium/Medium,Normal,No,6400000,,RCB,25,,2/11/2020,2021,SUB,3,58,50,52,50,72,81,,,,,,,Injury Prone,39,52,78,67,49,42,33,38,66,63,52,62,45,71,43,57,80,76,84,40,82,72,48,37,56,68,,71,66,13,14,8,10,9,59+2,59+2,59+2,52+0,54+0,54+0,54+0,52+0,54+2,54+2,54+2,55+2,59+2,59+2,59+2,55+2,64+2,69+2,69+2,69+2,64+2,66+2,73+2,73+2,73+2,66+2
229319,https://sofifa.com/player/229319/jhonder-cadiz/210002,J. Cádiz,Jhonder Leonel Cádiz Fernández,24,7/29/1995,191,85,Venezuela,Nashville SC,USA Major League Soccer,1,72,77,4200000,6000,ST,Right,1,2,3,High/Medium,Lean,No,,,RES,19,SL Benfica,,2020,SUB,14,64,69,52,70,31,76,,,,,,,,46,72,73,64,67,73,38,26,44,70,61,67,61,74,52,75,57,79,77,56,72,24,76,55,70,74,,31,24,9,10,7,9,6,72+2,72+2,72+2,66+0,69+0,69+0,69+0,66+0,66+2,66+2,66+2,66+2,60+2,60+2,60+2,66+2,50+2,50+2,50+2,50+2,50+2,48+2,47+2,47+2,47+2,48+2
176071,https://sofifa.com/player/176071/dax-mccarty/210002,D. McCarty,Dax McCarty,33,4/30/1987,175,68,United States,Nashville SC,USA Major League Soccer,1,72,72,1500000,6000,CDM,Right,1,3,3,Medium/High,Normal,No,2200000,,RDM,6,,11/12/2019,2025,,,49,54,67,68,68,73,,,,,,,Solid Player,59,46,64,76,56,65,66,54,66,69,58,41,70,71,76,68,60,84,67,53,78,67,58,63,66,66,,67,68,15,6,8,6,11,60+2,60+2,60+2,62+0,62+0,62+0,62+0,62+0,64+2,64+2,64+2,64+2,68+2,68+2,68+2,64+2,68+2,71+1,71+1,71+1,68+2,67+2,68+2,68+2,68+2,67+2
210021,https://sofifa.com/player/210021/hany-mukhtar/210002,H. Mukhtar,Hany Mukhtar,25,3/21/1995,173,71,Germany,Nashville SC,USA Major League Soccer,1,71,76,3100000,6000,"CAM, CM",Right,1,5,3,High/Medium,Normal,No,4700000,,CAM,10,,1/1/2020,2024,,,79,63,69,75,44,59,,,,,,,"Flair, Playmaker (AI), Technical Dribbler (AI)",68,60,40,73,55,73,60,67,64,75,76,81,87,70,85,70,72,85,53,63,38,45,66,71,60,66,,42,44,15,10,9,9,12,65+2,65+2,65+2,71+0,70+0,70+0,70+0,71+0,71+2,71+2,71+2,72+2,68+2,68+2,68+2,72+2,63+2,59+2,59+2,59+2,63+2,60+2,50+2,50+2,50+2,60+2
217047,https://sofifa.com/player/217047/anibal-godoy/210002,A. Godoy,Anibal Cesis Godoy,30,2/10/1990,183,82,Panama,Nashville SC,USA Major League Soccer,1,71,71,2000000,5000,"CDM, CM",Left,1,2,3,Medium/Medium,Normal,No,2900000,,LDM,20,,1/1/2020,2021,,,39,55,64,65,64,74,,,,,,,"Dives Into Tackles (AI), Flair, Long Passer (AI)",42,53,51,77,31,65,50,47,74,67,41,38,61,65,64,73,65,74,71,54,84,68,56,64,36,73,,63,62,8,15,14,9,6,59+2,59+2,59+2,58+0,61+0,61+0,61+0,58+0,63+2,63+2,63+2,60+2,68+2,68+2,68+2,60+2,62+2,70+1,70+1,70+1,62+2,61+2,66+2,66+2,66+2,61+2
219871,https://sofifa.com/player/219871/jimmy-medranda/210002,J. Medranda,Jimmy Gerardo Medranda Obando,26,2/7/1994,173,68,Colombia,Nashville SC,USA Major League Soccer,1,69,72,1100000,4000,"LB, CM, LW",Left,1,2,3,Medium/High,Lean,No,1700000,,RES,94,,11/19/2019,2025,,,73,62,63,72,65,64,,,,,,,"Flair, Long Shot Taker (AI), Technical Dribbler (AI)",66,62,44,68,37,70,50,57,56,72,76,71,76,65,85,68,54,66,61,62,73,67,62,63,53,68,,68,68,13,15,13,12,14,63+2,63+2,63+2,68+0,67+0,67+0,67+0,68+0,67+2,67+2,67+2,67+2,65+2,65+2,65+2,67+2,68+2,66+2,66+2,66+2,68+2,67+2,64+2,64+2,64+2,67+2
210801,https://sofifa.com/player/210801/david-accam/210002,D. Accam,David Accam,29,9/28/1990,174,79,Ghana,Nashville SC,USA Major League Soccer,1,69,69,1000000,4000,"LM, LW",Right,1,3,3,Medium/Low,Normal,No,1500000,,SUB,11,,1/1/2020,2024,,,88,66,61,73,44,60,,,,,,,Speed Dribbler (AI),62,65,45,64,62,74,70,67,43,69,88,88,82,61,74,75,55,61,61,63,59,47,66,63,64,65,,50,46,14,10,15,11,10,67+2,67+2,67+2,70+,69+0,69+0,69+0,70+,67+2,67+2,67+2,68+1,61+2,61+2,61+2,68+1,59+2,54+2,54+2,54+2,59+2,57+2,51+2,51+2,51+2,57+2
219285,https://sofifa.com/player/219285/brayan-beckeles/210002,B. Beckeles,Brayan Antonio Beckeles,34,11/28/1985,182,84,Honduras,Nashville SC,USA Major League Soccer,1,69,69,375000,4000,RB,Right,1,3,2,Medium/High,Normal,No,544000,,RB,55,,12/4/2019,2020,,,61,51,60,54,67,82,,,,,,,,61,46,63,67,40,50,40,34,57,62,59,63,56,63,41,65,81,88,82,54,73,66,54,59,43,65,,73,72,10,15,12,9,14,58+2,58+2,58+2,57+0,58+0,58+0,58+0,57+0,58+2,58+2,58+2,60+2,62+2,62+2,62+2,60+2,67+2,67+2,67+2,67+2,67+2,67+2,69+0,69+0,69+0,67+2
231886,https://sofifa.com/player/231886/alex-muyl/210002,A. Muyl,Alex Muyl,24,9/30/1995,180,79,United States,Nashville SC,USA Major League Soccer,1,68,72,1200000,3000,"RM, LM",Right,1,2,3,High/High,Normal,No,1800000,#Engine,LM,29,,8/13/2020,2022,,,78,59,59,68,58,79,,,,,,,Dives Into Tackles (AI),63,60,70,65,43,67,59,30,56,68,80,77,76,62,70,70,78,87,72,49,85,58,67,52,53,55,,58,52,9,13,11,12,6,66+2,66+2,66+2,66+0,65+0,65+0,65+0,66+0,64+2,64+2,64+2,67+2,62+2,62+2,62+2,67+2,65+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,64+2,64+2
221713,https://sofifa.com/player/221713/daniel-lovitz/210002,D. Lovitz,Daniel Lovitz,28,8/27/1991,178,75,United States,Nashville SC,USA Major League Soccer,1,68,68,775000,3000,"LB, LWB",Left,1,3,3,Medium/High,Lean,Yes,1100000,,LB,2,,11/19/2019,2025,,,74,53,61,65,65,73,,,,,,,"Long Throw-in, Speed Dribbler (AI)",65,49,58,59,57,65,68,61,57,61,75,74,71,65,68,61,75,80,68,50,75,64,57,60,59,60,,66,65,15,8,15,12,10,60+2,60+2,60+2,62+0,61+0,61+0,61+0,62+0,61+2,61+2,61+2,63+2,61+2,61+2,61+2,63+2,67+1,64+2,64+2,64+2,67+1,66+2,66+2,66+2,66+2,66+2
