Club,GP,PTS,PTS Rank,W,W Rank,L,L Rank,T,T Rank,G,G Rank,G<18,G>18,HG,HG Rank,PKG,PKA,PK%,S,SOT,SHT%,SHT% Rank,G+A,G+A Rank,A,A Rank,CK,KP,KP Rank,P,PA,Pass%,Pass% Rank,POpp,POwn,LB,LB%,GA,GA Rank,SA,SA Rank,CS,CS Rank,SV%,SV% Rank,HDR%,Duel%,INT,PKGA,PKGA Rank,PKS,PKS%,Total Market Value,MKT Value Rank,Image URL
Atlanta United,42,43,22,10,23,19,20,13,4,44,24,39,5,10,10,8,9,87.5,454,156,34.36123348,17,86,24,42,25,208,298,23,17119,20194,84.77270476,1,7720,9603,1447,56.55,55,12,179,14,9,18,68.95,13,49.7,53,391,3,3,0,0,$76.31m,1,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1620997957/assets/logos/ATL-Logo-480px.png"
CF Montreal,42,52,16,15,13,20,22,7,22,59,9,50,9,10,10,7,7,100,470,168,35.74468085,9,116,9,57,9,180,315,19,15548,18716,83.07330626,8,7456,8229,1187,54.75,68,22,215,23,8,20,70.7,9,49.95,49.35,510,9,25,1,16.65,$28.22m,24,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1615326140/assets/logos/1616-montreal-logo_jkdycg.png"
Chicago Fire FC,42,43,22,10,23,19,20,13,4,53,16,49,4,10,10,2,4,25,567,187,32.98059965,22,103,16,50,14,206,394,4,13825,17454,79.20820442,23,6701,7340,1132,48.05,68,22,203,21,7,23,65.95,22,48.25,50.4,585,3,3,0,0,$30.14m,22,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1620997959/assets/logos/CHI-Logo-480px.png"
Colorado Rapids,35,59,11,17,9,10,5,8,19,57,10,48,9,12,4,0,1,0,462,165,35.71428571,10,116,9,59,8,172,315,19,13029,15644,83.28432626,4,6379,6787,1148,55.15,45,6,161,7,12,7,71.9,7,51.85,50.35,377,4,8,1,16.65,$40.23m,11,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970746/assets/logos/436-colorado-logo_yifx69.png"
Columbus Crew,42,65,7,18,7,13,9,11,13,57,10,46,11,5,23,3,6,62.5,443,154,34.76297968,14,105,14,48,20,178,292,24,15599,18613,83.8070166,2,7652,8105,1330,55.7,44,5,152,3,15,3,70.15,10,49.6,52.45,464,9,25,0,0,$42.57m,9,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1621373535/assets/logos/CLB-Logo-New-480.png"
D.C. United,42,48,19,13,18,20,22,9,17,52,17,46,6,11,6,8,8,100,453,152,33.55408389,21,95,22,43,24,175,292,24,12962,16620,77.99037304,25,6091,7053,1196,46.35,62,16,180,15,10,14,64.85,23,45.35,49.85,562,3,3,0,0,$33.50m,17,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970749/assets/logos/1326-dc-united-logo_pwc97q.png"
FC Cincinnati,40,32,26,7,25,22,25,11,13,30,26,21,9,4,24,2,3,75,439,134,30.523918,26,52,26,22,26,153,302,22,14694,17700,83.01694915,9,5555,9267,1199,50.3,66,20,180,15,11,10,62.9,25,52.35,50.25,439,4,8,0,0,$32.86m,19,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1620997960/assets/logos/CIN-Logo-480px.png"
FC Dallas,41,55,14,14,16,14,11,13,4,51,19,46,5,6,20,4,4,100,521,186,35.70057582,11,101,19,50,14,201,371,7,15688,19037,82.40794243,11,6490,9388,1222,51.7,51,11,190,18,11,10,72.4,6,54.65,51.45,473,7,20,2,25,$32.81m,20,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970753/assets/logos/1903-fc-dallas-logo_zf5uiy.png"
Houston Dynamo FC,42,39,25,7,25,17,17,18,1,50,21,44,6,6,20,4,6,75,551,188,34.11978221,18,99,21,49,19,235,376,5,13500,16970,79.55215085,22,6648,7017,1143,47.9,68,22,210,22,6,26,66.9,18,45.55,49.2,520,4,8,0,0,$22.58m,26,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970752/assets/logos/1897-houston-logo_mwdpxd.png"
Inter Miami CF,40,40,24,11,21,22,25,7,22,40,25,34,6,9,16,3,4,75,466,158,33.9055794,19,85,25,45,22,212,322,17,12638,15646,80.77463889,17,6649,6178,1138,51.55,63,17,167,9,4,27,61.2,26,48.3,48.95,467,8,23,1,10,$50.11m,5,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970761/assets/logos/14880-miami-logo_m0n453.png"
