Player,Club,GP,GS,Mins,Sub,G,G<18,G>18,G/90min,HG,PKG,PKA,PK%,S,SOT,SHT%,SC%,DRBs,DRB%,G+A,P,PA,Pass%,POpp,POwn,Cross,A,A/90min,KP,LB,SP,LA,TO,GA,CS,HDR%,Duel,Duel%,INT
D. Accam,NSH,7,2,206,5,1,1,0,0.44,0,0,0,0,6,3,50,16.7,7,63.6,1,35,46,76.1,26,11,2,0,0,3,1,34,0,6,4,0,66.7,34,41.2,1
J. Anibaba,NSH,12,6,582,6,0,0,0,0,0,0,0,0,5,2,40,0,1,50,0,154,203,75.9,59,95,0,0,0,0,15,139,9,3,5,1,53.9,27,59.3,6
B. Anunga,NSH,14,8,779,6,0,0,0,0,0,0,0,0,3,0,0,0,8,57.1,0,334,386,86.5,140,194,0,0,0,1,17,317,10,10,5,3,35.7,79,40.5,15
D. Badji,NSH,12,10,750,2,1,1,0,0.12,0,0,0,0,18,5,27.8,5.6,3,60,2,98,130,75.4,77,24,3,1,0.12,6,1,97,3,26,10,0,34.8,88,34.1,2
B. Beckeles,NSH,2,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,23,29,79.3,15,8,0,0,0,0,2,21,1,0,0,0,0,10,40,1
H. Bwana,NSH,2,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,13,84.6,9,3,1,0,0,1,0,11,0,2,0,0,0,2,100,0
J. Cádiz,NSH,7,0,219,7,2,1,1,0.82,1,0,0,0,15,6,40,13.3,7,53.9,2,30,46,65.2,19,11,0,0,0,0,0,30,0,7,3,0,58.6,68,51.5,0
C. Cochran,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Danladi,NSH,17,7,575,10,2,2,0,0.31,1,0,0,0,17,4,23.5,11.8,10,50,3,99,129,76.7,58,43,2,1,0.16,7,2,97,0,26,6,0,15,93,37.6,7
T. Dieterich,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Godoy,NSH,20,18,1494,2,1,0,1,0.06,0,0,0,0,23,8,34.8,4.3,23,74.2,1,897,976,91.9,473,425,1,0,0,10,91,806,3,20,17,4,67.7,213,61.5,39
