Player,Club,GP,GS,Mins,Sub,P,PA,Pass%,POpp,POwn,Cross,A,A/90min,KP,LB,SP,LA,TO,G,G<18,G>18,G/90min,HG,PKG,PKA,PK%,S,SOT,SHT%,SC%,DRBs,DRB%,G+A,GA,CS,HDR%,Duel,Duel%,INT
J. Anibaba,NSH,8,6,574,2,190,222,85.6,29,162,1,0,0,0,17,173,15,1,1,1,0,0.16,1,0,0,0,2,1,50,50,0,0,1,5,3,50,29,51.7,8
Tah Anunga,NSH,10,7,597,3,247,285,86.7,96,151,0,0,0,2,12,235,3,7,1,0,1,0.15,0,0,0,0,4,2,50,25,4,66.7,1,5,2,20,65,38.5,7
D. Badji,NSH,5,2,187,3,34,46,73.9,24,10,0,1,0.48,0,0,34,1,5,0,0,0,0,0,0,0,0,10,5,50,0,1,50,1,0,0,55.6,29,55.2,0
H. Bwana,NSH,4,1,95,3,21,30,70,15,7,1,0,0,2,0,21,0,6,0,0,0,0,0,0,0,0,3,1,33.3,0,2,66.7,0,2,0,0,16,50,0
J. Cádiz,NSH,14,6,544,8,80,117,68.4,55,27,2,1,0.17,6,5,75,0,14,2,2,0,0.33,1,0,0,0,25,7,28,8,4,36.4,3,7,0,50,113,42.5,1
R. Castellanos,NSH,1,1,90,0,49,53,92.5,6,43,0,0,0,0,5,44,3,1,1,1,0,1,1,0,0,0,2,1,50,50,0,0,1,1,0,80,6,66.7,0
A. Danladi,NSH,6,0,62,6,15,17,88.2,14,2,1,0,0,2,0,15,0,3,1,1,0,1.45,1,0,0,0,7,5,71.4,14.3,0,0,1,0,0,0,11,27.3,1
I. Donasiyano,NSH,1,0,27,1,5,7,71.4,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
A. Godoy,NSH,12,10,917,2,553,596,92.8,326,227,0,3,0.29,9,53,500,0,12,0,0,0,0,0,0,0,0,8,4,50,0,3,37.5,3,10,4,52.9,92,51.1,21
L. Haakenson,NSH,11,1,204,10,39,55,70.9,32,9,2,0,0,4,2,37,1,2,2,2,0,0.88,0,0,0,0,10,5,50,20,4,80,2,2,0,53.3,33,51.5,2
