,Player,Age,Preferred Foot,Position, Market Value When Signed , Market Value , Market Trend ,Active Squad,GP,GS,Mins,Sub,G,Goal Rank,G<18,G>18,G/90min,HG,PKG,PKA,PK%,S,SOT,SHT%,ASC%,DRBs,DRB%,G+A,P,PA,Pass%,POpp,POwn,Cross,A,A/90min,KP,LB,SP,LA,TO,GA,CS,HDR%,Duel,Duel%,INT,Image URL,Country,Country URL
18,D. Nealis,21,Right,Defender," $495,000.00 "," $385,000.00 "," $(110,000.00)",Yes,3,2,136,1,0,0,0,0,0.00,0,0,0,0,1,0,0,0.00,1,0,1,51,61,0.84,26,26,1,1,0.66,1,1,50,0,2,1,0,0,9,0.389,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/dlcx2tbbljqvhn7qtjfd.png,USA,https://cdn.sofifa.com/flags/us.png
24,H. Mukhtar,25,Right,Midfielder," $2,970,000.00 "," $6,600,000.00 "," $3,630,000.00 ",Yes,32,27,2384,5,11,1,9,2,0.42,1,1,2,0.5,78,32,0.41025641,0.34,36,0.5585,20,757,901,0.84,499,297,39,9,0.34,52,23,734,6,75,29,0,0.2065,314,0.458,14,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/aqjogjypjvn9n2eeawev.png,Germany,https://cdn.sofifa.com/flags/de.png
37,R. Leal,23,Right,Midfielder," $385,000.00 "," $3,300,000.00 "," $2,915,000.00 ",Yes,39,34,2903,5,6,2,4,2,0.19,0,0,0,0,78,40,0.512820513,0.15,48,0.4645,15,872,1115,0.78,589,310,27,9,0.28,36,46,826,11,63,32,4,0.3935,415,0.4845,37,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/kpqob4svwhuvyphl7vrh.png,Costa Rica,https://cdn.sofifa.com/flags/cr.png
12,C. Sapong,31,Right,Forward," $935,000.00 "," $660,000.00 "," $(275,000.00)",Yes,18,13,1068,5,6,3,6,0,0.51,2,0,0,0,36,15,0.416666667,0.40,7,0.25,9,184,247,0.74,146,38,0,3,0.25,12,6,178,0,33,10,0,0.285,157,0.261,4,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/gucpc3aahdea9diuglgy.png,USA,https://cdn.sofifa.com/flags/us.png
15,D. Jones,23,Left,Midfielder," $385,000.00 "," $660,000.00 "," $275,000.00 ",No,18,9,912,9,0,0,0,0,0.00,0,0,0,0,9,3,0.333333333,0.00,21,0.25,2,267,334,0.80,164,104,1,2,0.20,5,5,262,4,27,9,1,0.189,187,0.2245,5,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/tqpgw0duqueg1neaxb0z.png,USA,https://cdn.sofifa.com/flags/us.png
14,D. Badji,27,Left,Forward," $1,100,000.00 "," $880,000.00 "," $(220,000.00)",No,17,12,937,5,1,7,1,0,0.10,0,0,0,0,28,10,0.357142857,0.10,4,0.55,3,132,176,0.75,101,34,3,2,0.19,6,1,131,4,31,10,0,0.452,117,0.4465,2,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/dg51azk0jyeeam6w4qsy.png,Senegal,https://cdn.sofifa.com/flags/sn.png
16,D. Lovitz,28,Left,Defender," $880,000.00 "," $1,100,000.00 "," $220,000.00 ",Yes,36,35,3163,1,1,7,0,1,0.03,0,0,0,0,18,3,0.166666667,0.33,32,0.625,7,1090,1472,0.74,660,495,65,6,0.17,52,110,980,53,56,37,12,0.655,282,0.5765,46,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/jfrd9z9rdoedrkejbarw.png,USA,https://cdn.sofifa.com/flags/us.png
0,A. Danladi,24,Right,Forward," $550,000.00 "," $660,000.00 "," $110,000.00 ",Yes,23,7,637,16,3,5,3,0,0.42,2,0,0,0,24,9,0.375,0.33,10,0.25,4,114,146,0.78,72,45,3,1,0.14,9,2,112,0,29,6,0,0.075,104,0.3245,8,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/urvo5dx3d5relwl28hd2.png,Ghana,https://cdn.sofifa.com/flags/gh.png
33,M. LaGrassa,28,Right,Midfielder," $303,000.00 "," $330,000.00 "," $27,000.00 ",Yes,17,7,691,10,0,0,0,0,0.00,0,0,0,0,6,1,0.166666667,0.00,2,0.5,1,262,322,0.81,151,114,3,1,0.13,6,24,238,6,11,6,2,0.5075,77,0.5115,17,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/rik84ejbraxslszcxreg.png,USA,https://cdn.sofifa.com/flags/us.png
28,J. Maher,21,Right,Defender," $83,000.00 "," $330,000.00 "," $247,000.00 ",Yes,11,9,725,2,1,7,1,0,0.12,0,0,0,0,2,1,0.5,1.00,1,0,2,321,358,0.90,92,230,1,1,0.12,0,44,277,11,0,9,2,0.55,42,0.614,14,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/cdgwdyzic2dmbdgk46bi.png,USA,https://cdn.sofifa.com/flags/us.png
